theme,group_path,display_name,layer_name,id,type,service_url,public,image_type,min_resolution_hint,max_resolution_hint,queryable,ogc_server,metadata_url,publication_date,last_update_date,revision,metadata_json,dimensions_json,child_layers_json
Agricoltura,Agricoltura > Agricoltura > Catasto viticolo,Catasto viticolo,ch_151_1_v2_0_catasto_viticolo_,1363,WMS,,True,image/png,0.0,999999999.0,,,https://www4.ti.ch/fileadmin/GENERALE/IGDAC/ccgeo/metadata/ch_151_1_v2_0_catasto_viticolo.html,,,,"{""exclusiveGroup"":true,""hiDPILegendImages"":{""100"":""https://www4.ti.ch/fileadmin/GENERALE/IGDAC/ccgeo/legends/ch_151_1_v2_0/ch_151_1_v2_0_catasto_viticolo_.png""},""legend"":true,""legendImage"":""https://www4.ti.ch/fileadmin/GENERALE/IGDAC/ccgeo/legends/ch_151_1_v2_0/ch_151_1_v2_0_catasto_viticolo_.png""}",,"[{""name"":""vgeo_vigneti"",""minResolutionHint"":0.0,""maxResolutionHint"":999999999.0,""queryable"":true}]"
Agricoltura,Agricoltura > Agricoltura > Gestione agricola: superfici d'utilizzazione,Superfici d'utilizzazione (annuale),ch_153_1_v3_0_gestione_agricola_superfici_utilizzazione_an,2009,WMS,,True,image/png,0.0,999999999.0,,,https://www4.ti.ch/fileadmin/GENERALE/IGDAC/ccgeo/metadata/ch_153_1_v3_0_gestione_agricola_superfici_utilizzazione.html,,,,"{""hiDPILegendImages"":{""100"":""https://www4.ti.ch/fileadmin/GENERALE/IGDAC/ccgeo/legends/ch_153_1_v3_0/ch_153_1_v3_0_gestione_agricola_superfici_utilizzazione_an.png""},""legend"":true,""legendImage"":""https://www4.ti.ch/fileadmin/GENERALE/IGDAC/ccgeo/legends/ch_153_1_v3_0/ch_153_1_v3_0_gestione_agricola_superfici_utilizzazione_an.png""}",,"[{""name"":""vgeo_superfici_utilizzazione_an"",""minResolutionHint"":0.0,""maxResolutionHint"":999999999.0,""queryable"":true}]"
Agricoltura,Agricoltura > Agricoltura > Gestione agricola: superfici d'utilizzazione,Superfici d'utilizzazione (d'estivazione),ch_153_1_v3_0_gestione_agricola_superfici_utilizzazione_es,2010,WMS,,True,image/png,0.0,999999999.0,,,https://www4.ti.ch/fileadmin/GENERALE/IGDAC/ccgeo/metadata/ch_153_1_v3_0_gestione_agricola_superfici_utilizzazione.html,,,,"{""hiDPILegendImages"":{""100"":""https://www4.ti.ch/fileadmin/GENERALE/IGDAC/ccgeo/legends/ch_153_1_v3_0/ch_153_1_v3_0_gestione_agricola_superfici_utilizzazione_es.png""},""legend"":true,""legendImage"":""https://www4.ti.ch/fileadmin/GENERALE/IGDAC/ccgeo/legends/ch_153_1_v3_0/ch_153_1_v3_0_gestione_agricola_superfici_utilizzazione_es.png""}",,"[{""name"":""vgeo_superfici_utilizzazione_es"",""minResolutionHint"":0.0,""maxResolutionHint"":999999999.0,""queryable"":true}]"
Agricoltura,Agricoltura > Agricoltura > Limiti delle zone agricole,Limiti delle zone agricole della Svizzera,ch.blw.landwirtschaftliche-zonengrenzen,548,WMS,,True,image/png,0.0,999999999.0,,,https://www4.ti.ch/fileadmin/GENERALE/IGDAC/ccgeo/metadata/ch-ch-149_1-blw_landwirtschaftliche_zonengrenzen.html,,,,"{""disclaimer"":""[CH-149.1] Limiti delle zone agricole della Svizzera (Ufficio federale dell'agricoltura UFAG)"",""exclusiveGroup"":true,""hiDPILegendImages"":{""100"":""https://api3.geo.admin.ch/static/images/legends/ch.blw.landwirtschaftliche-zonengrenzen_it.png""},""legend"":true,""legendImage"":""https://api3.geo.admin.ch/static/images/legends/ch.blw.landwirtschaftliche-zonengrenzen_it.png""}",,"[{""name"":""ch.blw.landwirtschaftliche-zonengrenzen"",""minResolutionHint"":0.0,""maxResolutionHint"":999999999.0,""queryable"":true}]"
Agricoltura,"Agricoltura > Agricoltura > Rilievi ""praTiva"" e contributo ""in situ""","Rilievi ""praTiva"" e contributo ""in situ""",ac_046_1_v1_0_rilievi_prativa_,1211,WMS,,True,image/png,0.0,999999999.0,,,https://www4.ti.ch/fileadmin/GENERALE/IGDAC/ccgeo/metadata/ac_046_1_v1_0_rilievi_prativa.html,,,,"{""hiDPILegendImages"":{""100"":""https://www4.ti.ch/fileadmin/GENERALE/IGDAC/ccgeo/legends/ac_046_1_v1_0/ac_046_1_v1_0_rilievi_prativa_.png""},""legend"":true,""legendImage"":""https://www4.ti.ch/fileadmin/GENERALE/IGDAC/ccgeo/legends/ac_046_1_v1_0/ac_046_1_v1_0_rilievi_prativa_.png""}",,"[{""name"":""vgeo_rilievi_prativa"",""minResolutionHint"":0.0,""maxResolutionHint"":999999999.0,""queryable"":true}]"
Agricoltura,Agricoltura > Agricoltura > Vigneti in zone declive,Vigneti in zone declive,ch.blw.steil_terrassenlagen_rebbau,514,WMTS,https://wmts.geo.admin.ch/EPSG/2056/1.0.0/WMTSCapabilities.xml,True,image/png,,,,,https://www4.ti.ch/fileadmin/GENERALE/IGDAC/ccgeo/metadata/ch-ch-152_2-ch-blw-steil_terrassenlagen_rebbau.html,,,,"{""hiDPILegendImages"":{""100"":""https://api3.geo.admin.ch/static/images/legends/ch.blw.steil_terrassenlagen_rebbau_it.png""},""legend"":true,""legendImage"":""https://api3.geo.admin.ch/static/images/legends/ch.blw.steil_terrassenlagen_rebbau_it.png""}",{},
Agricoltura,Agricoltura > Agricoltura > Zone declive,Zone declive,ch.blw.hang_steillagen,515,WMTS,https://wmts.geo.admin.ch/EPSG/2056/1.0.0/WMTSCapabilities.xml,True,image/png,,,,,https://www4.ti.ch/fileadmin/GENERALE/IGDAC/ccgeo/metadata/ch-ch-152_1-blw_hang_steillagen.html,,,,"{""hiDPILegendImages"":{""100"":""https://api3.geo.admin.ch/static/images/legends/ch.blw.hang_steillagen_it.png""},""legend"":true,""legendImage"":""https://api3.geo.admin.ch/static/images/legends/ch.blw.hang_steillagen_it.png""}",{},
Altimetria,Altimetria > Altimetria > Altimetria (swissALTI3D),Classi pendenza maggiori di 30°,ch.swisstopo.hangneigung-ueber_30,1064,WMTS,https://wmts.geo.admin.ch/EPSG/2056/1.0.0/WMTSCapabilities.xml,True,image/png,,,,,,,,,"{""hiDPILegendImages"":{""100"":""https://api3.geo.admin.ch/static/images/legends/ch.swisstopo.hangneigung-ueber_30_it.png""},""legend"":true,""legendImage"":""https://api3.geo.admin.ch/static/images/legends/ch.swisstopo.hangneigung-ueber_30_it.png""}",{},
Altimetria,Altimetria > Altimetria > Altimetria (swissALTI3D),Ombreggiatura del rilievo - monodirezionale,ch.swisstopo.swissalti3d-reliefschattierung_monodirektional,1591,WMTS,https://wmts.geo.admin.ch/EPSG/2056/1.0.0/WMTSCapabilities.xml,True,image/png,,,,,,,,,"{""disclaimer"":""<a href='https://www.swisstopo.admin.ch/it/geodata/height/alti3d.html' target='_blank'>download dataset</a> - geodato Swisstopo""}",{},
Altimetria,Altimetria > Altimetria > Altimetria (swissALTI3D),Ombreggiatura del rilievo - multidirezionale,ch.swisstopo.swissalti3d-reliefschattierung,1592,WMTS,https://wmts.geo.admin.ch/EPSG/2056/1.0.0/WMTSCapabilities.xml,True,image/png,,,,,,,,,"{""disclaimer"":""<a href='https://www.swisstopo.admin.ch/it/geodata/height/alti3d.html' target='_blank'>download dataset</a> - geodato Swisstopo""}",{},
